Video_Name,Channel_Name
"Software Engineer to YouTuber Journey, Thanks for 200K â¤ï¸ #shorts #tech #journey #youtuber #nyc",Namanh Kapur
any job has ups and downs #shorts #coding #tech #softwareengineer #programming #sf #interview,Namanh Kapur
"do you love your job? he likes, but not loves #shorts #programming #coding #tech #softwareengineer",Namanh Kapur
is big tech better than startups? #shorts #programming #coding #tech #sf #softwareengineer,Namanh Kapur
What NYU Students KNOW About Getting Hired That You DON'T,Namanh Kapur
do you love your job? #shorts #programming #coding #tech #sf #google #softwareengineer #python,Namanh Kapur
aw tysm programming rizz #shorts #programming #nyc #coding #tech #edate #python #java,Namanh Kapur
Youâ€™re my number zero ðŸ¥° #shorts #programming #coding #nyc #rizz #edate #tech,Namanh Kapur
Programming magic rizz goes crazy #shorts #programming #rizz #edate #coding #magic #python #nyc,Namanh Kapur
Programming rizz goes crazy #shorts #programming #rizz #edate #coding #python #nyc,Namanh Kapur
Why Most Computer Science Students Don't Sleep Enough,something to the core
my first vedio ?!?!,meatball
my friend loves llama too much,meatball
my friend can sing in fortnite!!!!,meatball
i belive i can fly,meatball
i got aimbot!!! yay (jk i didnt),meatball
POV: u suck at fortnite,Namanh Kapur
I Asked Microsoft Software Engineers How To Get Hired,Namanh Kapur
Why Ivy League Students Can't Get Hired,Namanh Kapur
The Best Smartphone for Software Engineers #shorts #OnePlusOpen #OpenforEverything @oneplus,Namanh Kapur
The Reason You Canâ€™t Get a Job #shorts #softwareengineer #coding #programming #job,Namanh Kapur
i passed the java interview lol,Namanh Kapur
more practice interview questions in java,Namanh Kapur
still learning java so i can get a job,Namanh Kapur
learning java so i can get a job,meatball
POV : you are learning to get better in fortnite,Daily Dose Of Laughs
TRY NOT TO LAUGH WATCHING FUNNY FAILS VIDEOS 2023 #52,kaavikiwi
a holiday lip ESSENTIAL.,Namanh Kapur
I Asked Googlers How To Get Hired,Namanh Kapur
"The Google Employee Who Makes $1,083,333/Month Doing Nothing",Namanh Kapur
How To Get Ahead of 99% of Software Engineers (Starting Today),kaavikiwi
what Iâ€™m reading this week! library haul ðŸ“š PART TWO,kaavikiwi
THIS simple weekly habit will set you apart ðŸ“š PART ONE,kaavikiwi
southern fall is so elite ðŸ‚ðŸ©·,kaavikiwi
pick your fighter... ðŸ˜­âœ¨ðŸ‘»ðŸŽƒ,kaavikiwi
make a PINK boo basket with me! ðŸ‘»ðŸ’–ðŸŽƒ,kaavikiwi
@kaaviyakitchen recipe ðŸ¥§ðŸŽâœ¨,kaavikiwi
Are you living your life wrong?,kaavikiwi
THIS is an ideal fall weekend ðŸŽðŸ‚âœ¨,Namanh Kapur
The Programming Identity Crisis,Namanh Kapur
i got laid off... (as a software engineer),Namanh Kapur
Coding Projects That Got Me a Job in 2 Days,Namanh Kapur
my first hackathon be like #shorts #softwareengineer #tech #programming #coding #hackathon,Namanh Kapur
Apartment Hunting in NYC Almost Killed My Roommate,Namanh Kapur
why laundry sucks in nyc,Namanh Kapur
a big announcement,Namanh Kapur
Asking Strangers To Teach Me Anything,Namanh Kapur
3 Years of Coding. Here's Everything I've Learned...,kaavikiwi
this has to be the DEFINITION of feminine high fashion ðŸŒºâœ¨,kaavikiwi
these are the CUTEST fall transitional outfits ðŸ‚ðŸŽƒðŸ«¶ðŸ¾,Namanh Kapur
Asking Interns Why They Studied Computer Science,Namanh Kapur
Day In The Life of a Software Engineer in Montreal,kaavikiwi
trying the VIRAL strawberry makeup trend on melanin ðŸ“ðŸ°âœ¨ #strawberrymakeup #viralmakeup #grwm,kaavikiwi
GRWM: milky makeup look ðŸ¥›ðŸ’­âœ¨,kaavikiwi
THESE are the only blushes you  need.,kaavikiwi
my sunday reset routine ðŸ‰ðŸŒ±ðŸ§˜ðŸ¾â€â™€ï¸âœ¨,kaavikiwi
GRWM: Rare Beauty Movie Night ðŸ©·,Namanh Kapur
Asking Software Engineers If They Actually Love Their Job,Namanh Kapur
I Coded With ChatGPT To Analyze MrBeast,Namanh Kapur
Asking Software Engineers What They Actually Do,Namanh Kapur
Asking Interns How Much Money They Make,Namanh Kapur
FASTEST Way to Learn Backend Development & ACTUALLY Get a Job,Namanh Kapur
"I Read YOUR Resumes, Here's 5 Secret Rules",Namanh Kapur
Can You Pass The World's Hardest Java Coding Test?,Namanh Kapur
"My Friends Challenged Me, So I Took a Coding Quiz",Namanh Kapur
My Entire Computer Science Degree in 14 Minutes,Namanh Kapur
FASTEST Way to Learn Coding and ACTUALLY Get a Job,Namanh Kapur
How I Consistently Focus with a Full Time Job,Namanh Kapur
The BEST Programming Language To Learn In 2022,Namanh Kapur
This RIDDLE Got Me a Software Engineer Job at Microsoft,Namanh Kapur
Feeling Behind? Watch This.,Namanh Kapur
This RESUME Got Me 15 Software Engineer Offers,Namanh Kapur
Software Engineering Resume Mistakes!,Namanh Kapur
Every Software Engineer Role Explained!,Namanh Kapur
Day In The Life of a Software Engineer in Seattle (Microsoft),Namanh Kapur
The Entire Guide to Software Engineering Recruiting,Namanh Kapur
The Software Engineering Ladder Explained,Namanh Kapur
How I Became a Software Engineer,Daily Dose Of Laughs
*3 HOURS SPECIAL* Impossible Try Not to Laugh Challenge ðŸ˜‚ Best Fails of the Year 2023!,Daily Dose Of Laughs
*1 HOUR* Impossible Try Not to Laugh Challenge #12 ðŸ˜‚ Best Fails of the Week | Funny Videos 2023,Daily Dose Of Laughs
TRY NOT TO LAUGH WATCHING FUNNY FAILS VIDEOS 2023 #51,Namanh Kapur
How To Be a Better Problem Solver,Namanh Kapur
Day In The Life of a Software Engineer Team in San Francisco,Namanh Kapur
Why I Studied Computer Science (And You Should Too),Namanh Kapur
Software Engineers Oncall Be Like,Namanh Kapur
How I Would Learn To Code (If I Could Start Over),Namanh Kapur
A Day in the Life of a Software Engineer in New York City,Namanh Kapur
Rejecting Internship Offers From Microsoft & Facebook,Namanh Kapur
I'm Not The Best Programmer,Namanh Kapur
A Day in the Life of a Software Engineer in San Francisco,Namanh Kapur
10 Years of Coding: Everything I've Ever Learned,Namanh Kapur
Remote Software Engineers Be Like (Pt. 2),Namanh Kapur
Remote Software Engineers Be Like (Pt. 1),Namanh Kapur
How To Create a Personal Website on Notion,Namanh Kapur
Software Engineering Benefits That Actually Matter,Namanh Kapur
5 Things to Know Before Software Engineer Recruiting,Namanh Kapur
Day In The Life of a Software Engineer at a Startup,Namanh Kapur
Automating Every $0.01 Of My Software Engineer Paycheck,Namanh Kapur
I Only Work 4 DAYS A WEEK as a SOFTWARE ENGINEER @ BOLT,Namanh Kapur
"Don't Let Others Invest YOUR Money, HERE'S WHY | Personal Finance",Namanh Kapur
Summer in SF | Gusto 2019,Namanh Kapur
Summer in Seattle | Microsoft 2018,Namanh Kapur
Summer in Seattle | Microsoft 2018 (Extended Cut),something to the core
DIY - waterfalls paper,something to the core
Indian covers say you wont let go - James Arthur.,something to the core
DIY vintage papers. sooo easy and fun with one ingredient.,something to the core
Beginner sunset painting,something to the core
Beginner covers PERFECT -Ed Sheeran..(no effects),something to the core
reacting again ....,something to the core
reacting to animal videos ??,something to the core
what the heck??,something to the core
MY NEW MOBILE,something to the core
mixing random things into slime,something to the core
i coloured my hair,something to the core
COME AROUND WITH ME,Daily Dose Of Laughs
*1 HOUR* Impossible Try Not to Laugh Challenge #11 ðŸ˜‚ Best Fails of the Week | Funny Videos 2023,Daily Dose Of Laughs
TRY NOT TO LAUGH WATCHING FUNNY FAILS VIDEOS 2023 #50,Daily Dose Of Laughs
TRY NOT TO LAUGH WATCHING FUNNY FAILS VIDEOS 2023 #49,Daily Dose Of Laughs
*1 HOUR* Impossible Try Not to Laugh Challenge #10 ðŸ˜‚ Best Fails of the Week | Funny Videos 2023,Daily Dose Of Laughs
TRY NOT TO LAUGH WATCHING FUNNY FAILS VIDEOS 2023 #48,Daily Dose Of Laughs
TRY NOT TO LAUGH WATCHING FUNNY FAILS VIDEOS 2023 #47,Daily Dose Of Laughs
*1 HOUR* Impossible Try Not to Laugh Challenge #9 ðŸ˜‚ Best Fails of the Week | Funny Videos 2023,Daily Dose Of Laughs
TRY NOT TO LAUGH WATCHING FUNNY FAILS VIDEOS 2023 #46,Daily Dose Of Laughs
TRY NOT TO LAUGH WATCHING FUNNY FAILS VIDEOS 2023 #45,Daily Dose Of Laughs
*1 HOUR* Impossible Try Not to Laugh Challenge #8 ðŸ˜‚ Best Fails of the Week | Funny Videos 2023,Daily Dose Of Laughs
TRY NOT TO LAUGH WATCHING FUNNY FAILS VIDEOS 2023 #44,Daily Dose Of Laughs
TRY NOT TO LAUGH WATCHING FUNNY FAILS VIDEOS 2023 #43,Daily Dose Of Laughs
*1 HOUR* Impossible Try Not to Laugh Challenge #7 ðŸ˜‚ Best Fails of the Week | Funny Videos 2023,Daily Dose Of Laughs
TRY NOT TO LAUGH WATCHING FUNNY FAILS VIDEOS 2023 #42,Daily Dose Of Laughs
TRY NOT TO LAUGH WATCHING FUNNY FAILS VIDEOS 2023 #41,Daily Dose Of Laughs
*1 HOUR* Impossible Try Not to Laugh Challenge #6 ðŸ˜‚ Best Fails of the Week | Funny Videos 2023,Daily Dose Of Laughs
TRY NOT TO LAUGH WATCHING FUNNY FAILS VIDEOS 2023 #40,Daily Dose Of Laughs
TRY NOT TO LAUGH WATCHING FUNNY FAILS VIDEOS 2023 #39,Daily Dose Of Laughs
*1 HOUR* Impossible Try Not to Laugh Challenge #5 ðŸ˜‚ Best Fails of the Week | Funny Videos 2023,Daily Dose Of Laughs
TRY NOT TO LAUGH WATCHING FUNNY FAILS VIDEOS 2023 #38,Daily Dose Of Laughs
TRY NOT TO LAUGH WATCHING FUNNY FAILS VIDEOS 2023 #37,Daily Dose Of Laughs
*1 HOUR* Impossible Try Not to Laugh Challenge #4 ðŸ˜‚ Best Fails of the Week | Funny Videos 2023,Daily Dose Of Laughs
TRY NOT TO LAUGH WATCHING FUNNY FAILS VIDEOS 2023 #36,Daily Dose Of Laughs
TRY NOT TO LAUGH WATCHING FUNNY FAILS VIDEOS 2023 #35,Daily Dose Of Laughs
TRY NOT TO LAUGH WATCHING FUNNY FAILS VIDEOS 2023 #34,Daily Dose Of Laughs
TRY NOT TO LAUGH WATCHING FUNNY FAILS VIDEOS 2023 #33,Daily Dose Of Laughs
*1 HOUR* Impossible Try Not to Laugh Challenge #3 ðŸ˜‚ Best Fails of the Week | Funny Videos 2023,Daily Dose Of Laughs
