Like_Count,Dislike_Count,Video_name
0,0,i got aimbot!!! yay (jk i didnt)
0,0,"If Iâ€™m ootdâ€™ing, weâ€™re all ootdâ€™ing"
0,0,life as a creator âœ¨ work trips to new york city & denver (starting my luxury travel content career)
0,0,my friend can sing in fortnite!!!!
1,0,DIY - waterfalls paper
1,0,i belive i can fly
1,0,POV: u suck at fortnite
1,0,reacting again ....
2,0,All this for a piece of paper
2,0,my friend loves llama too much
2,0,POV : you are learning to get better in fortnite
2,0,reacting to animal videos ??
2,0,Skincare products I use to treat my acne #skincare #skincareproducts #skincareroutine
3,0,Beginner sunset painting
3,0,Guess Whoâ€™s a genius (my sisters)
3,0,Happy girls happy world
3,0,How to be a conventional thot
3,0,Indian covers say you wont let go - James Arthur.
4,0,Iâ€™m a bit of a semi-truck myself
4,0,Lizzie McGuire dreams
4,0,My first tattoo
4,0,Thank gosh itâ€™s â€œfridayâ€
4,0,This is what grown ups do
5,0,COME AROUND WITH ME
5,0,Didnâ€™t have time to make a new short today & nobody saw this one yesterday so #recycle #reuse #ranch
6,0,"10 years of long hair, 5 seconds of chopping"
6,0,Breastfeeding my digital footprint
6,0,CAUGHT BY THE FEDS | DAY 4
6,0,DIY vintage papers. sooo easy and fun with one ingredient.
6,0,EVERYTHING is big enough for the both of us
6,0,HOW TO MAKE BUTTER COOKIES
6,0,Momâ€™s Spotify ON REPEAT Playlist
7,0,FOLLOW THE FLOATING ANIMALS
7,0,Hallie's Introduction Video
7,0,I bought fake skincare products | VLOG
7,0,i coloured my hair
7,0,Momâ€™s not sorry #spotify #playlist
7,0,Moments like these are my Grammyâ€™s
7,0,MY NEW MOBILE
7,0,"ringtone Vs. ringtone (Remix) [feat. Charli XCX, Rico Nasty, Kero Kero Bonito]"
7,0,what the heck??
7,0,"Where to have the best Amala in Abuja | new pasta recipe, GRWM, ABUJA VLOG"
8,0,Alanis Morissette concert fit check
8,0,How To Style: New Balance 550's | Mostly Thrifted | Outfits of the Week
8,0,mixing random things into slime
8,0,"You donâ€™t even need clippers, all u need is this song #buzzcut #haircut"
9,0,Beginner covers PERFECT -Ed Sheeran..(no effects)
9,0,Click like Adam Sandler
9,0,crying at work
9,0,"WEEKLY VLOG | I saw an optometrist for my eyes, EVERYTHING IS SO EXPENSIVE, Clean my room with me"
9,0,WHAT I EAT A DAY IN A NIGERIAN HOME (Simple Nigerian meal)
9,0,WHOLE FOODS VEGAN GOODIES
10,0,A *PRODUCTIVE* lazy vlog | Clean with me
10,0,DIY: MY CUSTOM SHOES
10,0,I Work Where You Vacation - 5am Shift - Florida Keys
10,0,iPhone games with Andrew
10,0,SIMPLE VEGAN PIZZA | DAY 2
10,0,Taco Bell nightshift heroâ€™s
11,0,A PRODUCTIVE day in my life
11,0,A trip down Love Lane while 1989â€™ing (Taylorâ€™s Version) #crush #taylorswift
11,0,A WEEK IN A CABIN | DAY 3
11,0,my first vedio ?!?!
11,0,SPACE GIRL MAKEUP TUTORIAL | DAY 6
11,0,"the concept of money is weird - boring weeks in abuja, shopping, new bookshelf?!"
11,0,The time I Quit My Job and Discovered Rome
12,0,"20's Diaries | skin acne update, productive days in my life"
12,0,A trip down Love Lane while 1989â€™ing (Taylorâ€™s Version) #crush #taylorswift
12,0,HAND ME DOWN HAUL | GRANDPA'S CLOTHES
12,0,"Life lately | dealing with anxiety, my fav musical band |... 20's Diaries | Abuja VLOG"
12,0,Market runs in Abuja | Harmattan is here | PRODUCTIVE VLOG
12,0,Trying 2 different SHEA BUTTER CONDITIONER on my 4C natural hair
12,0,"WEEKLY VLOG | life update, mini grocery haul, unboxing my new pots, room cleanout - PRODUCTIVE WEEK"
13,0,$FREE$ One Woman Show
13,0,"3am Winter Study Vlog | Productive, tea, music production"
13,0,"Birthday vlog | Get ready with me for my birthday, abuja museum visit, birthday depression"
13,0,I spent over 70k treating cystic acne | Weekly Vlog
13,0,I went Black Friday shopping for a day | Shopping haul | ABUJA VLOG
13,0,I'm quitting YouTube?!?!! + making popcorn for the first time + back to work + weekly vlog
13,0,Make breakfast with me
13,0,What ur mother doesnâ€™t tell u about BUZZCUTS | 1 yr growth | pictures + styling tips
13,0,Zack lost his hearing after this
14,0,"20's Diaries | DEALING WITH CYSTIC ANCE, finally seeing a dermatologist, new skincare products |VLOG"
14,0,DIY T-SHIRT TO BAG NO SEW | DAY 7
14,0,Unboxing my BTS book (Beyond the story) | Vlog
14,0,Why I went bald
15,0,A day in the life of an unemployed writer *PRODUCTIVE VLOG*
15,0,Get ready with me to go Black Friday shopping #abujaliving #grwmoutfit
15,0,WEEKLY VLOG + I  went shopping in ABUJA + GRWM + Movie Date(BLACK PANTHER) + VLOG #4
15,0,WEEKLY VLOG + Tried Making Toast + Indigo by RM + Period Cramps are unnecessary + #VLOG5
16,0,Made my fav banana smoothie before editing | Having a productive dayðŸ¥³
16,0,PEACEFUL  SUNRISE
17,0,"20's Diaries | Clean/Reset with me, WHY ARE WIGS SO EXPENSIVE!? New braids | Productive Vlog"
17,0,30 DAY CHALLENGE | DAY 1
17,0,"Abuja â€œProductiveâ€ Vlog | MY NEIGHBORS HATE ME, skincare updates, meal prep, unboxing FACE album"
17,0,any job has ups and downs #shorts #coding #tech #softwareengineer #programming #sf #interview
17,0,I Changed my Relaxed 4C Hair to Natural - VLOG #3
17,0,Shoulda coulda woulda
17,0,VEGAN HOOTERS WING'S | DAY 5
18,0,I need this song deleted off the inter-web
18,0,Letâ€™s go Swifties
18,0,SUNDAY RESET (Calm and relaxing)
18,0,Tips from a girl who shouldnâ€™t have buzzed her head
18,0,WHAT I EAT IN A DAY | VEGAN
19,0,"i quit social media for 48hours, made cinnamon tea, healthy living | chaotic vlog"
19,0,Pen15 & bao buns
19,0,WHAT I EAT IN A DAY ( Healthy NIGERIAN meal)
20,0,How to: Style your quarantine bangs while losing your mind in quarantine
20,0,Productive week in my life | Abuja living
20,0,WARPED TOUR EXPERIENCE
21,0,6pm Study Vlog | Dance  | GWRM | Cafe vibes | aesthetic |
21,0,CHRISTMAS VLOG + No hype for Christmas this year + Christmas jollof + Chaotic + We made ZOBO VLOG#6
21,0,SWEATER PARTY
22,0,LIVING IN ABUJA VLOG + Treating malaria + organising my wardrobe + plans for 2023 + VLOG#7
23,0,I went to see THOR... it was below my expectation - VLOG #2
24,0,Graduation is all about (not) having class
24,0,GRWM for a chilll outing #grwm #grwmoutfit #outfitinspo #newyoutuber #viralshort
24,0,HOW TO MAKE LEMON BUTTER CHICKEN WINGS
25,0,"20's Diaries | I'm tired of reading books, new skincare products, unboxing, and new braids"
25,0,A PRODUCTIVE WEEK IN MY LIFE + I made SMOOTHIE for the first time + New BRAIDS + What I EAT in a day
25,0,My First Youtube Vlog - VLOG #1
26,0,I'm Finally on Youtube! Trailer... Intro
26,0,It was so hard finding a perfect song for this video so y'all would have to take this one... sjskjsk
26,0,My mini room makeover  | Clean and re-decorate with me * pinterest inspired
28,0,A scary surprise. Surprise!
29,0,I love(d) college
29,0,Target audience for real
30,0,I shouldâ€™ve asked him what flavor I was
30,0,WHAT I EAT IN DAY | VEGAN
30,0,WHAT IS MATURITY?
32,0,6 YEAR OLD PRO SKATEBOARDER
33,0,IDIOTâ€™S REACT : 1989 TAYLORâ€™S VERSION
33,0,ROAD TRIP (PITSTOPS)
34,0,Iâ€™ll miss college
36,0,"Dear Neptune, not again"
36,0,I am switching to Ollie for My Beagle!
36,0,Summer in Seattle | Microsoft 2018
39,0,I cut my HAIR (ft my sister)...
41,0,"Shaving my head, do what I dare"
41,0,Transform Dog Grooming with PalFur: The Ultimate Guide
41,0,what HARVARD students are ACTUALLY wearing
41,0,Youâ€™re my number zero ðŸ¥° #shorts #programming #coding #nyc #rizz #edate #tech
44,0,I got new and different skincare products and decided to try them out | GRWM Morning Routine
45,0,An abundance of meâ€™s in 2022
46,0,A Must Have Grooming Tool for Every Beagle Owner - GULIGULI Grooming Kit
48,0,Get ready with me for an outing #grwm
48,0,Make breakfast Pineapple SMOOTHIE with me
48,0,NIKON TAKES GEORGIA
49,0,"do you love your job? he likes, but not loves #shorts #programming #coding #tech #softwareengineer"
50,0,Why Every Dog Owner Needs GULIGULI Hiibo Dog Camera?
52,0,Summer in SF | Gusto 2019
52,0,Why didnâ€™t anyone tell me  #buzzcut #haircut #hairgrowth
53,0,Programming rizz goes crazy #shorts #programming #rizz #edate #coding #python #nyc
54,0,ACT MY AGE
55,0,Beagle vs Poodle: Which is Better for You?
57,0,How to Socialize a Beagle Puppy? (Step-by-Step Guide)
61,0,do you love your job? #shorts #programming #coding #tech #sf #google #softwareengineer #python
62,0,"Software Engineer to YouTuber Journey, Thanks for 200K â¤ï¸ #shorts #tech #journey #youtuber #nyc"
63,0,WYNWOOD WALLS
64,0,How to Handle Your Dog Around People who are Afraid of Dogs?
68,0,A MUST have Pet Grooming Accessory for Dogs!
68,0,Why you must have a Smart Pet Camera? Know your pet better by AiDot
69,0,Watch me do long knotless braids on my hair for 8hrs #braids #boxbraids #shortsfeed #braidstutorial
71,0,pEnNy BoArDiNg
72,0,Why you MUST keep your dog on a Feeding Schedule?
76,0,i passed the java interview lol
78,0,Precious cargo
78,0,Shawn Mendes - Life Of The Party (Official Music Video)
78,0,Summer in Seattle | Microsoft 2018 (Extended Cut)
81,0,6 Best Halloween Gifts for your Dog
83,0,DIY: HOT GLUE GUN CRAYON ART
86,0,Can Beagles have Blue Eyes?
87,0,8 Tips for Adopting a Rescue Beagle
88,0,Beagle vs. Jack Russell: Which is Better for you?
93,0,more practice interview questions in java
97,0,How to Stop Dog Aggression Toward Other Dogs?
98,0,5 Potty Training Products for Beagles
99,0,7 Fun Places You Can Take Your Beagle This Weekend new
99,0,What NYU Students KNOW About Getting Hired That You DON'T
100,0,CATS VS DOGS - TRY NOT TO LAUGH FUNNY CAT & DOG FAILS VIDEOS 2023
103,0,"And as if on cue, here they come"
105,0,9 Ways to Take better photos of your Dog
105,0,Do you know this song?
106,0,"TGP Episode 9 // Spring Flowers: Finding Support, Stability, and Reassurance during Change"
109,0,5 Grooming Tips and Tricks for First Time Beagle Owners
113,0,Biggest Downsides of Owning a Beagle
115,0,aw tysm programming rizz #shorts #programming #nyc #coding #tech #edate #python #java
116,0,Beagle vs. Corgi: Which is Better for You?
116,0,is big tech better than startups? #shorts #programming #coding #tech #sf #softwareengineer
116,0,TRY NOT TO LAUGH WATCHING FUNNY FAILS VIDEOS 2023 #15
119,0,The Ultimate Solution for Busy Dog Owners!
122,0,FUNNY WINS VS. EPIC FAILS: Prepare to Laugh!
122,0,Traveling with Your Beagle Tips and Tricks for a Stress Free Trip
123,0,How To Keep Your Beagle Cool In Summer
126,0,why laundry sucks in nyc
127,0,Beagle vs Pitbull: Which is Better for You?
128,0,Why itâ€™s Worth Having Your Beagle Groomed Professionally
130,0,How to Keep Your Beagle Safe and Warm in Winter
131,0,Preparing for Your First Beagle (Necessary Supplies and House Setup)
135,0,Why your Beagle sometimes FORGETS it's Training and What to do?
136,0,Get the Frienhund's Dog Feeder: Link in Bio. Exclusive Discount Code: BELEEV5P #dog #dogs
141,0,"decorate with me for fall 2020! // simple, affordable, minimalist, cozy"
142,0,TRY NOT TO LAUGH WATCHING FUNNY FAILS VIDEOS 2023 #2
144,0,Apartment Hunting in NYC Almost Killed My Roommate
144,0,Be your own MCM #haircut #diy
145,0,still learning java so i can get a job
148,0,TRY NOT TO LAUGH WATCHING FUNNY FAILS VIDEOS 2023 #3
149,0,Beagle vs French Bulldog: Which is Better?
150,0,Why Most Computer Science Students Don't Sleep Enough
154,0,6 Ways to Keep Your Beagle Active in the Winters
154,0,How Strong is a Beagleâ€™s Sense of Smell? **SHOCKING**
156,0,TRY NOT TO LAUGH WATCHING FUNNY FAILS VIDEOS 2023 #17
156,0,Try Not To Laugh Watching The Funniest Water Fails of 2023
156,0,Watch This Before Taking your Beagle Puppy OUTSIDE!
158,0,Must Have TOYS to Keep your Beagle Active and Entertained
159,0,TRY NOT TO LAUGH WATCHING FUNNY FAILS VIDEOS 2023 #4
163,0,5 Important Commands that can Save your Beagle's life!
164,0,TRY NOT TO LAUGH WATCHING FUNNY FAILS VIDEOS 2023 #19
164,0,TRY NOT TO LAUGH WATCHING FUNNY FAILS VIDEOS 2023 #26
166,0,"Don't Let Others Invest YOUR Money, HERE'S WHY | Personal Finance"
167,0,How NOT to Bore Your Beagle!
168,0,Beagle: Pros And Cons You Must Know Before Getting One!
169,0,TRY NOT TO LAUGH WATCHING FUNNY FAILS VIDEOS 2023 #14
173,0,Must have for all Pet Owners: BeagleCare.com/PetVacuum
173,0,TRY NOT TO LAUGH WATCHING FUNNY FAILS VIDEOS 2023 #18
173,0,TRY NOT TO LAUGH WATCHING FUNNY FAILS VIDEOS 2023 #30
174,0,5 Things to Know Before Software Engineer Recruiting
174,0,TRY NOT TO LAUGH WATCHING FUNNY FAILS VIDEOS 2023 #29
176,0,TRY NOT TO LAUGH WATCHING FUNNY FAILS VIDEOS 2023 #5
178,0,5 Uses of Coconut Oil for Dogs (Based on Studies)
179,0,TRY NOT TO LAUGH WATCHING FUNNY FAILS VIDEOS 2023 #10
180,0,Our Beagle's Daily Exercise Routine
180,0,Try Not To Laugh Challenge! Funny Pranks and Scare Cam Fails 2023 #1
181,0,TRY NOT TO LAUGH WATCHING FUNNY FAILS VIDEOS 2023 #12
183,0,TRY NOT TO LAUGH WATCHING FUNNY FAILS VIDEOS 2023 #31
184,0,Bad Breath in a Beagle? Here's How To Fix It!
185,0,TRY NOT TO LAUGH WATCHING FUNNY FAILS VIDEOS 2023 #8
187,0,3 Types of Dog Training: Which Method Is Best for Your Dog?
187,0,Asking Strangers To Teach Me Anything
189,0,TRY NOT TO LAUGH WATCHING FUNNY FAILS VIDEOS 2023 #52
190,0,TRY NOT TO LAUGH WATCHING FUNNY FAILS VIDEOS 2023 #24
192,0,Try Not To Laugh Challenge! Funny Pranks and Scare Cam Fails 2023 #3
193,0,TRY NOT TO LAUGH WATCHING FUNNY FAILS VIDEOS 2023 #7
198,0,How to put your Beagle Puppy on a Healthy Sleeping Schedule?
202,0,Can You Pass The World's Hardest Java Coding Test?
202,0,TRY NOT TO LAUGH WATCHING FUNNY FAILS VIDEOS 2023 #6
204,0,TRY NOT TO LAUGH WATCHING FUNNY FAILS VIDEOS 2023 #16
205,0,TRY NOT TO LAUGH WATCHING FUNNY FAILS VIDEOS 2023 #32
206,0,Why did Pocket Beagles Went Extinct?
207,0,10 Best Dogs for Apartment Living
208,0,Programming magic rizz goes crazy #shorts #programming #rizz #edate #coding #magic #python #nyc
208,0,Why does your Beagle Looks at you while Pooping?
209,0,Ked sneaker sandal is the only was to sass at graduation
211,0,Are You Holding Your Dogâ€™s Leash Wrong?
212,0,Automating Every $0.01 Of My Software Engineer Paycheck
216,0,TRY NOT TO LAUGH WATCHING FUNNY FAILS VIDEOS 2023 #34
218,0,TRY NOT TO LAUGH WATCHING FUNNY FAILS VIDEOS 2023 #27
218,0,Why do Beagles Dig?
219,0,How to Teach your Beagle to not Pee in the House
220,0,TRYING ON FASHION NOVA HALLOWEEN COSTUMES!! *not what I was expectingâ€¦.* ðŸŽƒ âœ¨
222,0,TRY NOT TO LAUGH WATCHING FUNNY FAILS VIDEOS 2023 #11
224,0,How to make your Beagle Confident
224,0,TRY NOT TO LAUGH WATCHING FUNNY FAILS VIDEOS 2023 #28
229,0,6 Types of Dog Toys and How to USE Them?
231,0,Adopting vs Buying a Beagle: the pros and cons of both Worlds
231,0,Try Not To Laugh Challenge! Funny Pranks and Scare Cam Fails 2023 #2
236,0,TRY NOT TO LAUGH WATCHING FUNNY FAILS VIDEOS 2023 #9
244,0,TRY NOT TO LAUGH WATCHING FUNNY FAILS VIDEOS 2023 #50
244,0,Why You Should Let Your Beagle Sniff on Their Walk?
245,0,TRY NOT TO LAUGH WATCHING FUNNY FAILS VIDEOS 2023 #36
246,0,Beagle vs Pomeranian - Which One is Right for You?
246,0,"FALL VLOG ðŸ‚ ft. MAJOR life update, fall routines & habits, birthday parties, photoshoots, and more"
246,0,TRY NOT TO LAUGH WATCHING FUNNY FAILS VIDEOS 2023 #39
250,0,Software Engineering Benefits That Actually Matter
253,0,TRY NOT TO LAUGH WATCHING FUNNY FAILS VIDEOS 2023 #1
257,0,TRY NOT TO LAUGH WATCHING FUNNY FAILS VIDEOS 2023 #23
258,0,Cherry Eye in Beagles: What It Is & When to Seek Help?
258,0,TRY NOT TO LAUGH WATCHING FUNNY FAILS VIDEOS 2023 #33
259,0,10 Most Popular Hound Dogs in the World
260,0,How to Teach your Beagle to Bark Less?
264,0,How to Punish Your Beagle The right way
267,0,TRY NOT TO LAUGH WATCHING FUNNY FAILS VIDEOS 2023 #37
270,0,9 Delicious Dog Treats Perfect for Summer
280,0,TRY NOT TO LAUGH WATCHING FUNNY FAILS VIDEOS 2023 #25
282,0,TRY NOT TO LAUGH WATCHING FUNNY FAILS VIDEOS 2023 #51
287,0,"nyfw vlog // revolve gallery, exploring the city, content creating, visiting college friends"
