Video_id,Duration,Converted,Channel_Id,Channel_name,
6uA-ddOzYJc,PT25S,0h 0m 25s,UCLpovxJVLBZrXJGCymB6LYw,Namanh Kapur,
r63nGrD1eqY,PT26S,0h 0m 26s,UCLpovxJVLBZrXJGCymB6LYw,Namanh Kapur,
GCqtt1VCy20,PT24S,0h 0m 24s,UCLpovxJVLBZrXJGCymB6LYw,Namanh Kapur,
9gp7Fp5kcuM,PT32S,0h 0m 32s,UCLpovxJVLBZrXJGCymB6LYw,Namanh Kapur,
f8PweEqwMnk,PT10M59S,0h 10m 59s,UCLpovxJVLBZrXJGCymB6LYw,Namanh Kapur,
hB4dvbVwRCc,PT29S,0h 0m 29s,UCLpovxJVLBZrXJGCymB6LYw,Namanh Kapur,
ZNFlpBzjufo,PT29S,0h 0m 29s,UCLpovxJVLBZrXJGCymB6LYw,Namanh Kapur,
sUR7MKXfa30,PT25S,0h 0m 25s,UCLpovxJVLBZrXJGCymB6LYw,Namanh Kapur,
3F5VpVlr5EE,PT38S,0h 0m 38s,UCLpovxJVLBZrXJGCymB6LYw,Namanh Kapur,
vXOs9mGl8Aw,PT17S,0h 0m 17s,UCLpovxJVLBZrXJGCymB6LYw,Namanh Kapur,
OZGDh6CJS3A,PT6M14S,0h 6m 14s,UCLpovxJVLBZrXJGCymB6LYw,Namanh Kapur,
bYil_eXeUY8,PT3M39S,0h 3m 39s,UC9anh3Cs_tqMkKHxVFAqeQA,something to the core,
iSCoPApgO3w,PT3M28S,0h 3m 28s,UC0cyuNScmlQ8oyMpTvv4YSQ,meatball,
2zw98-fQ6Sc,PT50S,0h 0m 50s,UC0cyuNScmlQ8oyMpTvv4YSQ,meatball,
b1Spf_Uz1MQ,PT1M41S,0h 1m 41s,UC0cyuNScmlQ8oyMpTvv4YSQ,meatball,
PQihO3rWUis,PT24S,0h 0m 24s,UC0cyuNScmlQ8oyMpTvv4YSQ,meatball,
LiArlzw0_HU,PT16M8S,0h 16m 8s,UC0cyuNScmlQ8oyMpTvv4YSQ,meatball,
#NAME?,PT10M34S,0h 10m 34s,UCLpovxJVLBZrXJGCymB6LYw,Namanh Kapur,
eCw874GGTEI,PT11M43S,0h 11m 43s,UCLpovxJVLBZrXJGCymB6LYw,Namanh Kapur,
THvQHX2dovQ,PT52S,0h 0m 52s,UCLpovxJVLBZrXJGCymB6LYw,Namanh Kapur,
mGTR7mcHsTY,PT40S,0h 0m 40s,UCLpovxJVLBZrXJGCymB6LYw,Namanh Kapur,
odgOd274Cic,PT1H32M45S,1h 32m 45s,UCLpovxJVLBZrXJGCymB6LYw,Namanh Kapur,
Q5G_B8A8QA8,PT1H16M13S,1h 16m 13s,UCLpovxJVLBZrXJGCymB6LYw,Namanh Kapur,
SGsYitRe_Zk,PT2H11M25S,2h 11m 25s,UCLpovxJVLBZrXJGCymB6LYw,Namanh Kapur,
YeE6JtzDK5E,PT2H13M19S,2h 13m 19s,UCLpovxJVLBZrXJGCymB6LYw,Namanh Kapur,
OyvsHBcz3TE,PT2M26S,0h 2m 26s,UC0cyuNScmlQ8oyMpTvv4YSQ,meatball,
CxGNLJczkeA,PT10M11S,0h 10m 11s,UC9s5vcA1shZGHx3O1__UyVA,Daily Dose Of Laughs,
inKj8s4AhCo,PT7S,0h 0m 7s,UCKjFW3fLTteXH4p6pir1H2Q,kaavikiwi,
KB_7X3iIHQ4,PT9M44S,0h 9m 44s,UCLpovxJVLBZrXJGCymB6LYw,Namanh Kapur,
RFXwi6RoteE,PT10M36S,0h 10m 36s,UCLpovxJVLBZrXJGCymB6LYw,Namanh Kapur,
q9240p1hacc,PT11M35S,0h 11m 35s,UCLpovxJVLBZrXJGCymB6LYw,Namanh Kapur,
pM0OnH9dnvw,PT1M,0h 1m 0s,UCKjFW3fLTteXH4p6pir1H2Q,kaavikiwi,
4KKQyaKakIA,PT1M1S,0h 1m 1s,UCKjFW3fLTteXH4p6pir1H2Q,kaavikiwi,
YmadqlybSEA,PT12S,0h 0m 12s,UCKjFW3fLTteXH4p6pir1H2Q,kaavikiwi,
WBqQk-QhhNE,PT27S,0h 0m 27s,UCKjFW3fLTteXH4p6pir1H2Q,kaavikiwi,
uVqXaKk1yu0,PT1M,0h 1m 0s,UCKjFW3fLTteXH4p6pir1H2Q,kaavikiwi,
xP8-wYRMtnk,PT32S,0h 0m 32s,UCKjFW3fLTteXH4p6pir1H2Q,kaavikiwi,
DX2ZDK2wT50,PT38S,0h 0m 38s,UCKjFW3fLTteXH4p6pir1H2Q,kaavikiwi,
tfAiuGBv0Go,PT30S,0h 0m 30s,UCKjFW3fLTteXH4p6pir1H2Q,kaavikiwi,
nIXqEY-libk,PT9M2S,0h 9m 2s,UCLpovxJVLBZrXJGCymB6LYw,Namanh Kapur,
n9XlJii7e0U,PT8M15S,0h 8m 15s,UCLpovxJVLBZrXJGCymB6LYw,Namanh Kapur,
1OQqQDeCiXw,PT12M55S,0h 12m 55s,UCLpovxJVLBZrXJGCymB6LYw,Namanh Kapur,
FbqUMKpJ4IQ,PT55S,0h 0m 55s,UCLpovxJVLBZrXJGCymB6LYw,Namanh Kapur,
KKganVRyzGs,PT7M22S,0h 7m 22s,UCLpovxJVLBZrXJGCymB6LYw,Namanh Kapur,
fgz3vFeFoG4,PT5M31S,0h 5m 31s,UCLpovxJVLBZrXJGCymB6LYw,Namanh Kapur,
Yw6U231Lxhs,PT3M12S,0h 3m 12s,UCLpovxJVLBZrXJGCymB6LYw,Namanh Kapur,
JVaWpzJl-p4,PT9M53S,0h 9m 53s,UCLpovxJVLBZrXJGCymB6LYw,Namanh Kapur,
hU0HlQjQCEw,PT12M55S,0h 12m 55s,UCLpovxJVLBZrXJGCymB6LYw,Namanh Kapur,
gRcBwHa6ywI,PT14S,0h 0m 14s,UCKjFW3fLTteXH4p6pir1H2Q,kaavikiwi,
2Ang8Qzh_W0,PT58S,0h 0m 58s,UCKjFW3fLTteXH4p6pir1H2Q,kaavikiwi,
vffeIVeWDK4,PT8M50S,0h 8m 50s,UCLpovxJVLBZrXJGCymB6LYw,Namanh Kapur,
6mdGtrTo-YI,PT6M13S,0h 6m 13s,UCLpovxJVLBZrXJGCymB6LYw,Namanh Kapur,
TFvJWPv4F50,PT40S,0h 0m 40s,UCKjFW3fLTteXH4p6pir1H2Q,kaavikiwi,
L-NlfidD8ek,PT49S,0h 0m 49s,UCKjFW3fLTteXH4p6pir1H2Q,kaavikiwi,
#NAME?,PT52S,0h 0m 52s,UCKjFW3fLTteXH4p6pir1H2Q,kaavikiwi,
qIjnLkpPM_Q,PT1M1S,0h 1m 1s,UCKjFW3fLTteXH4p6pir1H2Q,kaavikiwi,
